"CountryName","Region","WorldRank","HappinessScore","Economy","Family","Health","Freedom","Trust","Generosity","DystopiaResidual","CountryCode"
Afghanistan,Southern Asia,153,3.575,0.3198,0.3028,0.3034,0.2341,0.0972,0.3651,1.9521,AFG
Albania,Central and Eastern Europe,95,4.959,0.8787,0.8043,0.8132,0.3573,0.0641,0.1427,1.8989,ALB
Algeria,Middle East and Northern Africa,68,5.605,0.9393,1.0777,0.6177,0.2858,0.1738,0.0782,2.4321,DZA
Angola,Sub-Saharan Africa,137,4.033,0.7578,0.8604,0.1668,0.1038,0.0712,0.1234,1.9494,AGO
Argentina,Latin America and Caribbean,30,6.574,1.0535,1.2482,0.7872,0.4497,0.0848,0.1145,2.836,ARG
Armenia,Central and Eastern Europe,127,4.35,0.7682,0.7771,0.7299,0.1985,0.039,0.0786,1.7587,ARM
Australia,Australia and New Zealand,10,7.284,1.3336,1.3092,0.9316,0.6512,0.3564,0.4356,2.2665,AUS
Austria,Western Europe,13,7.2,1.3372,1.297,0.8904,0.6243,0.1868,0.3309,2.5332,AUT
Azerbaijan,Central and Eastern Europe,80,5.212,1.0239,0.9379,0.6404,0.3703,0.1606,0.078,2.0007,AZE
Bahrain,Middle East and Northern Africa,49,5.96,1.3238,1.2162,0.7472,0.4549,0.306,0.1736,1.738,BHR
Bangladesh,Southern Asia,109,4.694,0.3975,0.4311,0.6016,0.4082,0.1257,0.2122,2.5177,BGD
Belarus,Central and Eastern Europe,59,5.813,1.0319,1.2329,0.7361,0.3794,0.1909,0.1105,2.1309,BLR
Belgium,Western Europe,19,6.937,1.3078,1.2857,0.8967,0.5845,0.2254,0.2225,2.4148,BEL
Benin,Sub-Saharan Africa,155,3.34,0.2866,0.3539,0.3191,0.4845,0.0801,0.1826,1.6333,BEN
Bhutan,Southern Asia,79,5.253,0.7704,1.1039,0.5741,0.5321,0.1544,0.48,1.6379,BTN
Bolivia,Latin America and Caribbean,51,5.89,0.6813,0.9784,0.5392,0.5741,0.088,0.2054,2.8233,BOL
Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.8322,0.9192,0.7908,0.0924,0.0023,0.2481,2.0637,BIH
Botswana,Sub-Saharan Africa,128,4.332,0.9936,1.1046,0.0478,0.495,0.1247,0.1046,1.4618,BWA
Brazil,Latin America and Caribbean,16,6.983,0.9812,1.2329,0.697,0.4905,0.1752,0.1457,3.26,BRA
Bulgaria,Central and Eastern Europe,134,4.218,1.0122,1.1061,0.7665,0.3059,0.0087,0.1192,0.8999,BGR
Burkina Faso,Sub-Saharan Africa,152,3.587,0.2581,0.8519,0.2712,0.3949,0.1283,0.2175,1.4649,BFA
Burundi,Sub-Saharan Africa,157,2.905,0.0153,0.4159,0.224,0.1185,0.1006,0.1973,1.833,BDI
Cambodia,Southeastern Asia,145,3.819,0.4604,0.6274,0.6111,0.6625,0.0725,0.4036,0.982,KHM
Cameroon,Sub-Saharan Africa,133,4.252,0.4225,0.8877,0.234,0.4931,0.0579,0.2062,1.9507,CMR
Canada,North America,5,7.427,1.3263,1.3226,0.9056,0.633,0.3296,0.4581,2.4518,CAN
Central African Republic,Sub-Saharan Africa,148,3.678,0.0785,0.0,0.067,0.4888,0.0829,0.2384,2.7223,CAF
Chad,Sub-Saharan Africa,149,3.667,0.3419,0.7606,0.1501,0.235,0.0527,0.1839,1.943,TCD
Chile,Latin America and Caribbean,27,6.67,1.1072,1.1245,0.8586,0.4413,0.1287,0.3336,2.6759,CHL
China,Eastern Asia,84,5.14,0.8901,0.9468,0.8166,0.517,0.0278,0.0819,1.8604,CHN
Colombia,Latin America and Caribbean,33,6.477,0.9186,1.2402,0.6908,0.5347,0.0512,0.184,2.8574,COL
Comoros,Sub-Saharan Africa,140,3.956,0.2391,0.7927,0.3631,0.2292,0.199,0.1744,1.9581,COM
Costa Rica,Latin America and Caribbean,12,7.226,0.9558,1.2379,0.8603,0.6338,0.1058,0.255,3.1773,CRI
Croatia,Central and Eastern Europe,62,5.759,1.0825,0.7962,0.788,0.2588,0.0243,0.0544,2.7541,HRV
Cyprus,Western Europe,67,5.689,1.2081,0.8932,0.9236,0.4067,0.0615,0.3064,1.8893,CYP
Czech Republic,Central and Eastern Europe,31,6.505,1.179,1.2064,0.8448,0.4636,0.0265,0.1069,2.6778,CZE
Denmark,Western Europe,3,7.527,1.3255,1.3606,0.8746,0.6494,0.4836,0.3414,2.492,DNK
Djibouti,Sub-Saharan Africa,126,4.369,0.4402,0.5921,0.3629,0.4607,0.281,0.1809,2.0513,DJI
Dominican Republic,Latin America and Caribbean,98,4.885,0.8954,1.172,0.6682,0.5767,0.1423,0.2168,1.213,DOM
Ecuador,Latin America and Caribbean,48,5.975,0.864,0.999,0.7907,0.4857,0.1809,0.1154,2.5394,ECU
Egypt,Middle East and Northern Africa,135,4.194,0.8818,0.747,0.6171,0.1729,0.0632,0.1129,1.5993,EGY
El Salvador,Latin America and Caribbean,42,6.13,0.7645,1.0251,0.6774,0.4035,0.1178,0.1069,3.035,SLV
Estonia,Central and Eastern Europe,73,5.429,1.1517,1.2279,0.7736,0.4489,0.1518,0.0868,1.5878,EST
Ethiopia,Sub-Saharan Africa,122,4.512,0.1907,0.6041,0.4406,0.4345,0.1505,0.2432,2.4488,ETH
Finland,Western Europe,6,7.406,1.2902,1.3183,0.8891,0.6417,0.4137,0.2335,2.6195,FIN
France,Western Europe,29,6.575,1.2778,1.2604,0.9458,0.5501,0.2065,0.1233,2.2113,FRA
Gabon,Sub-Saharan Africa,143,3.896,1.0602,0.9053,0.4337,0.3191,0.1109,0.0682,0.999,GAB
Georgia,Central and Eastern Europe,130,4.297,0.7419,0.3856,0.7293,0.4058,0.3833,0.0555,1.5954,GEO
Germany,Western Europe,26,6.75,1.3279,1.2994,0.8919,0.6148,0.2184,0.2821,2.1157,DEU
Ghana,Sub-Saharan Africa,114,4.633,0.5456,0.6795,0.4013,0.4234,0.0436,0.2309,2.3092,GHA
Greece,Western Europe,102,4.857,1.1541,0.9293,0.8821,0.077,0.014,0.0,1.801,GRC
Guatemala,Latin America and Caribbean,43,6.123,0.7455,1.0436,0.6442,0.5773,0.0947,0.2749,2.7426,GTM
Guinea,Sub-Saharan Africa,150,3.656,0.1742,0.4648,0.2401,0.3772,0.1214,0.2866,1.9917,GIN
Haiti,Latin America and Caribbean,119,4.518,0.2667,0.743,0.3885,0.2442,0.1718,0.4619,2.2417,HTI
Honduras,Latin America and Caribbean,105,4.788,0.5953,0.9535,0.6951,0.4015,0.0682,0.2303,1.8441,HND
Hong Kong,Eastern Asia,72,5.474,1.386,1.0582,1.0133,0.5961,0.3712,0.3948,0.6543,HKG
Hungary,Central and Eastern Europe,104,4.8,1.1209,1.2022,0.759,0.3211,0.0276,0.128,1.2407,HUN
Iceland,Western Europe,2,7.561,1.3023,1.4022,0.9478,0.6288,0.1414,0.4363,2.702,ISL
India,Southern Asia,117,4.565,0.645,0.3817,0.5153,0.3979,0.0849,0.2648,2.2751,IND
Indonesia,Southeastern Asia,74,5.399,0.8283,1.0871,0.6379,0.4661,0.0,0.5154,1.864,IDN
Iran,Middle East and Northern Africa,110,4.686,1.0088,0.5445,0.698,0.3003,0.0586,0.3809,1.6944,IRN
Iraq,Middle East and Northern Africa,112,4.677,0.9855,0.8189,0.6024,0.0,0.1379,0.1792,1.9534,IRQ
Ireland,Western Europe,18,6.94,1.336,1.3695,0.8953,0.6178,0.287,0.459,1.9757,IRL
Israel,Middle East and Northern Africa,11,7.278,1.2286,1.2239,0.9139,0.4132,0.0778,0.3317,3.0885,ISR
Italy,Western Europe,50,5.948,1.2511,1.1978,0.9545,0.2624,0.029,0.2282,2.0252,ITA
Jamaica,Latin America and Caribbean,65,5.709,0.8104,1.151,0.6874,0.5044,0.023,0.2123,2.3204,JAM
Japan,Eastern Asia,46,5.987,1.2707,1.2571,0.9911,0.4962,0.1806,0.107,1.6844,JPN
Jordan,Middle East and Northern Africa,82,5.192,0.902,1.0539,0.6964,0.4066,0.1429,0.1105,1.88,JOR
Kenya,Sub-Saharan Africa,125,4.419,0.3647,0.9988,0.4144,0.4222,0.0584,0.3754,1.7856,KEN
Kuwait,Middle East and Northern Africa,39,6.295,1.5542,1.1659,0.7249,0.555,0.2561,0.1623,1.8763,KWT
Kyrgyzstan,Central and Eastern Europe,77,5.286,0.4743,1.1511,0.6509,0.4348,0.0423,0.3003,2.2327,KGZ
Laos,Southeastern Asia,99,4.876,0.5907,0.738,0.5491,0.5959,0.2425,0.4219,1.738,LAO
Latvia,Central and Eastern Europe,89,5.098,1.1131,1.0956,0.7244,0.2967,0.0633,0.1823,1.6222,LVA
Lebanon,Middle East and Northern Africa,103,4.839,1.0256,0.8,0.8395,0.3392,0.0458,0.2185,1.5706,LBN
Lesotho,Sub-Saharan Africa,97,4.898,0.3754,1.041,0.0761,0.3177,0.125,0.1639,2.7983,LSO
Liberia,Sub-Saharan Africa,116,4.571,0.0712,0.7897,0.342,0.2853,0.0623,0.2436,2.7773,LBR
Lithuania,Central and Eastern Europe,56,5.833,1.1472,1.2574,0.7313,0.2134,0.0103,0.0264,2.4465,LTU
Luxembourg,Western Europe,17,6.946,1.5639,1.2196,0.9189,0.6158,0.378,0.2803,1.9696,LUX
Macedonia,Central and Eastern Europe,93,5.007,0.9185,1.0023,0.7355,0.3346,0.0533,0.2236,1.7393,MKD
Madagascar,Sub-Saharan Africa,147,3.681,0.2082,0.668,0.4672,0.1918,0.0812,0.2133,1.851,MDG
Malawi,Sub-Saharan Africa,131,4.292,0.016,0.4113,0.2256,0.4305,0.0698,0.3313,2.8079,MWI
Malaysia,Southeastern Asia,61,5.77,1.1249,1.0702,0.7239,0.5302,0.105,0.3308,1.8854,MYS
Mali,Sub-Saharan Africa,138,3.995,0.2607,1.0353,0.2058,0.3886,0.1235,0.188,1.7929,MLI
Malta,Western Europe,37,6.302,1.2074,1.302,0.8872,0.6036,0.1359,0.5175,1.6488,MLT
Mauritania,Sub-Saharan Africa,124,4.436,0.4541,0.8691,0.3587,0.2423,0.1746,0.219,2.1177,MRT
Mauritius,Sub-Saharan Africa,71,5.477,1.0076,0.9852,0.7095,0.5607,0.0752,0.3774,1.7614,MUS
Mexico,Latin America and Caribbean,14,7.187,1.0205,0.9145,0.8144,0.4818,0.2131,0.1407,3.6021,MEX
Moldova,Central and Eastern Europe,52,5.889,0.5945,1.0153,0.6183,0.3282,0.0162,0.2095,3.1071,MDA
Mongolia,Eastern Asia,100,4.874,0.8282,1.3006,0.6027,0.4363,0.0267,0.3323,1.3476,MNG
Morocco,Middle East and Northern Africa,92,5.013,0.7348,0.641,0.6095,0.4169,0.0855,0.0717,2.4537,MAR
Mozambique,Sub-Saharan Africa,94,4.971,0.0831,1.0263,0.0913,0.3404,0.156,0.2227,3.0514,MOZ
Myanmar,Southeastern Asia,129,4.307,0.2711,0.709,0.4825,0.4402,0.1903,0.7959,1.418,MMR
Nepal,Southern Asia,121,4.514,0.36,0.8645,0.5687,0.3828,0.0591,0.323,1.9564,NPL
Netherlands,Western Europe,7,7.378,1.3294,1.2802,0.8928,0.6158,0.3181,0.4761,2.4657,NLD
New Zealand,Australia and New Zealand,9,7.286,1.2502,1.3197,0.9084,0.6394,0.4292,0.475,2.2643,NZL
Nicaragua,Latin America and Caribbean,57,5.828,0.5933,1.1418,0.7431,0.5548,0.1932,0.2782,2.3241,NIC
Niger,Sub-Saharan Africa,144,3.845,0.0694,0.7726,0.2971,0.4769,0.1564,0.1939,1.8788,NER
Nigeria,Sub-Saharan Africa,78,5.268,0.6544,0.9043,0.1601,0.3433,0.0403,0.2723,2.8932,NGA
Norway,Western Europe,4,7.522,1.459,1.331,0.8852,0.6697,0.365,0.347,2.4653,NOR
Oman,Middle East and Northern Africa,22,6.853,1.3601,1.0818,0.7628,0.6327,0.3252,0.2154,2.4749,OMN
Pakistan,Southern Asia,81,5.194,0.5954,0.4141,0.5147,0.121,0.1046,0.3367,3.1071,PAK
Panama,Latin America and Caribbean,25,6.786,1.0635,1.1985,0.7966,0.5421,0.0927,0.2443,2.8485,PAN
Paraguay,Latin America and Caribbean,53,5.878,0.7598,1.3048,0.661,0.539,0.0824,0.3424,2.189,PRY
Peru,Latin America and Caribbean,58,5.824,0.9002,0.9746,0.7302,0.415,0.0599,0.1498,2.5945,PER
Philippines,Southeastern Asia,90,5.073,0.7053,1.0352,0.5811,0.6254,0.1228,0.2499,1.7536,PHL
Poland,Central and Eastern Europe,60,5.791,1.1256,1.2795,0.779,0.5312,0.0421,0.1676,1.8656,POL
Portugal,Western Europe,88,5.102,1.1599,1.1394,0.8752,0.5147,0.0108,0.1372,1.2646,PRT
Qatar,Middle East and Northern Africa,28,6.611,1.6904,1.0786,0.7973,0.6404,0.5221,0.3257,1.5567,QAT
Romania,Central and Eastern Europe,86,5.124,1.0434,0.8859,0.7689,0.3507,0.0065,0.1375,1.9313,ROM
Rwanda,Sub-Saharan Africa,154,3.465,0.2221,0.7737,0.4286,0.592,0.5519,0.2263,0.6704,RWA
Saudi Arabia,Middle East and Northern Africa,35,6.411,1.3954,1.0839,0.7202,0.3105,0.3252,0.1371,2.4387,SAU
Senegal,Sub-Saharan Africa,142,3.904,0.365,0.9762,0.4354,0.3677,0.1071,0.2084,1.444,SEN
Sierra Leone,Sub-Saharan Africa,123,4.507,0.3302,0.9557,0.0,0.4084,0.0879,0.2149,2.5101,SLE
Singapore,Southeastern Asia,24,6.798,1.5219,1.02,1.0252,0.5425,0.4921,0.311,1.885,SGP
Slovakia,Central and Eastern Europe,45,5.995,1.1689,1.27,0.789,0.3175,0.0343,0.1689,2.2464,SVK
Slovenia,Central and Eastern Europe,55,5.848,1.185,1.2738,0.8734,0.6086,0.0379,0.2533,1.6158,SVN
South Africa,Sub-Saharan Africa,113,4.642,0.9205,1.1847,0.2769,0.3321,0.0888,0.1197,1.7196,ZAF
South Korea,Eastern Asia,47,5.984,1.2446,0.9577,0.9654,0.3321,0.0786,0.1856,2.2198,KOR
Spain,Western Europe,36,6.329,1.2301,1.3138,0.9556,0.4595,0.064,0.1823,2.1237,ESP
Sri Lanka,Southern Asia,132,4.271,0.8352,1.0191,0.7081,0.5373,0.0918,0.4083,0.6711,LKA
Sudan,Sub-Saharan Africa,118,4.55,0.5211,1.014,0.3688,0.1008,0.1466,0.1906,2.2086,SDN
Suriname,Latin America and Caribbean,40,6.269,0.9953,0.972,0.6082,0.5966,0.1363,0.1699,2.7909,SUR
Swaziland,Sub-Saharan Africa,101,4.867,0.7121,1.0728,0.0757,0.3066,0.0306,0.1826,2.4868,SWZ
Sweden,Western Europe,8,7.364,1.3317,1.2891,0.9109,0.6598,0.4384,0.3626,2.3712,SWE
Switzerland,Western Europe,1,7.587,1.3965,1.3495,0.9414,0.6656,0.4198,0.2968,2.5174,CHE
Syria,Middle East and Northern Africa,156,3.006,0.6632,0.4749,0.7219,0.1568,0.1891,0.4718,0.3286,SYR
Taiwan,Eastern Asia,38,6.298,1.291,1.0762,0.8753,0.3974,0.0813,0.2538,2.3232,TWN
Tajikistan,Central and Eastern Europe,106,4.786,0.3905,0.8556,0.5738,0.4722,0.1507,0.2297,2.114,TJK
Tanzania,Sub-Saharan Africa,146,3.781,0.2852,1.0027,0.3822,0.3288,0.0575,0.3438,1.3808,TZA
Thailand,Southeastern Asia,34,6.455,0.9669,1.265,0.7385,0.5566,0.0319,0.5763,2.3194,THA
Togo,Sub-Saharan Africa,158,2.839,0.2087,0.14,0.2844,0.3645,0.1073,0.1668,1.5673,TGO
Trinidad and Tobago,Latin America and Caribbean,41,6.168,1.2118,1.1835,0.6148,0.5588,0.0114,0.3184,2.2688,TTO
Tunisia,Middle East and Northern Africa,107,4.739,0.8811,0.6043,0.7379,0.2627,0.0636,0.0643,2.1247,TUN
Turkey,Middle East and Northern Africa,76,5.332,1.061,0.9463,0.7317,0.2282,0.1575,0.1225,2.0853,TUR
Turkmenistan,Central and Eastern Europe,70,5.548,0.9585,1.2267,0.5389,0.4761,0.3084,0.1698,1.8698,TKM
Uganda,Sub-Saharan Africa,141,3.931,0.211,1.133,0.3386,0.4573,0.0727,0.2907,1.4277,UGA
Ukraine,Central and Eastern Europe,111,4.681,0.7991,1.2028,0.6739,0.2512,0.0296,0.1528,1.5714,UKR
United Arab Emirates,Middle East and Northern Africa,20,6.901,1.4273,1.1258,0.8092,0.6416,0.3858,0.2643,2.2474,ARE
United Kingdom,Western Europe,21,6.867,1.2664,1.2855,0.9094,0.5962,0.3207,0.5191,1.9699,GBR
United States,North America,15,7.119,1.3945,1.2471,0.8618,0.546,0.1589,0.401,2.5101,USA
Uruguay,Latin America and Caribbean,32,6.485,1.0617,1.2089,0.8116,0.6036,0.2456,0.2324,2.3214,URY
Uzbekistan,Central and Eastern Europe,44,6.003,0.6324,1.3404,0.5977,0.6582,0.3083,0.2284,2.2374,UZB
Venezuela,Latin America and Caribbean,23,6.81,1.0442,1.256,0.7205,0.4291,0.1107,0.0584,3.1913,VEN
Vietnam,Southeastern Asia,75,5.36,0.6322,0.9123,0.7468,0.5944,0.1044,0.1686,2.2017,VNM
Yemen,Middle East and Northern Africa,136,4.077,0.5465,0.6809,0.4006,0.3557,0.0785,0.0913,1.9231,YEM
Zambia,Sub-Saharan Africa,85,5.129,0.4704,0.9161,0.2992,0.4883,0.1247,0.1959,2.6343,ZMB
Zimbabwe,Sub-Saharan Africa,115,4.61,0.271,1.0328,0.3348,0.2586,0.0808,0.1899,2.4419,ZWE
